id,text
1261700650376855554,Hey if what you say is true then why don’t you and your family of liars and idiots stop getting tested for COVID-19 (since you get tested everyday be a “man” and just stop then. You already don’t wear a mask which is to protect OTHERS not you!) STUPID MURDERER!
1261730326608523265,What is the matter don't masks work?🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
1261696474267746306,"Masks, gloves, glasses and three bottles of alcohol-based purifier to sanitise equipment, hands and car: Journalists covering anti-lockdown protests need to come prepared. Oh, and some advice: Avoid hostile-looking people without masks. They may spit. "
1261647630897156096, You said you were diagnosed on the 31st. You went outside without a mask on the 12th. Your math is wrong. 
1261489141038157824,Coronavirus Ravaged a Choir. But Isolation Helped Contain It. GET YOUR  #COVID__19 #covid19 #n95 #mask #coronavirus #trump #DeltaAirLines #AmericanAirlines #UnitedAirlines #airlines 
1261732154758901767,Watching this triggers a coughing reflex. Shower that crowd with masks & Strepsils.
1261476669082271744,Former neurosurgeon says masks are ineffective against COVID-19 and can cause health problems   - and you don't have to look stupid !!!!
1261798915340414976,"It's an additional public health measure that will help us all curb the spread of COVID-19, and make it more likely that our 2020-21 school year will be closer to a sense of normal. I encourage you to wear a mask when in public."
1261755932159008768,"Every time I go outside, its evident COVID-19 is gonna be with us a long time: Groups of bicyclists riding with no masks. Store owners arguing with customers to wear masks they have in their hands. Even with a vaccine, containment in this country may be a serious challenge."
1261590476936876032,"When you hear that person you were chilling with gidigidi the day before, the one with whom you broke all social-distancing and mask-wearing protocols, has tested positive for COVID-19. Automatic self-inflicted diarrhoea!😑 "
1261694149494964225,What type of people wear the covid masks while driving alone in their cars?
1261768899592368133,Harvard and MIT researchers are developing a face mask that lights up when it detects the coronavirus #COVID19 
1261720415640195080,COVID-19 update   Religious idiots again  I will mask up before getting on the train To work @ 179th St Subway Station (F Line) 
1261668234073264128,document on website on page says    In some countries national authorities advice wearing mask like India Wide use of masks by healthy people is not supported by current evidence & carries uncertainties and critical risks.
1261529763115606016,"1. If someone is telling you masks could cause COVID they are trying to fucking kill you. 2. If someone is trying to convince you they should be able to ""choose"" they are a selfish asshole."
1261799617919885312,"In this 53-second video, I spotted dozens of people and only 3 masks—one of which was worn by a cop. Another cop in the video is maskless. What's happening here is pretty simple: Trump told America everything was fine, people are acting accordingly, and untold deaths will result."
1261626239086977024," Simple explanation of the science. Wear the mask to save lives, and so we can stop the virus and return to some sense of normal life. It's really that simple "
1261492122630459392," I hate to break it to you, no name, but masks help the spread of COVID: If you have it and don’t know you are a spreader, it protects others. I read your bio. It pains me to tell you, Republicans have abortions too.  They just don’t talk about it.  They hide it and use it for"
1261482064869683200,"#5: Politicization of Everything: Covid treatments, opening up or not, testing, mortality rates, “like the flu,” China, travel bans, masks... Is there any issue that won’t become chum in our political waters? The virus is foe enough. Why do this to ourselves? Which leads to...  /13"
1261757773282500608,We've added new face mask Satin elastic Washable fabric face mask at our store. Check it out here:  #Facemask #COVID19 #Coronavirus
1261709448088870912,"Cw: Covid, virus I've been back on main for like a day and I'm already seeing a ton of Covid posts and the debate still seems to be running rampant: should I be wearing a mask when I go out or not?"
